0010011;ENVIRONMENT;Noise pollution;Disturbing or unwanted noise that may present a potential risk to the health of humans, animals and wildlife.
0010100;ENVIRONMENT;Plague of insects;Infestation of insects or pervasive influx and development of insects or parasites affecting humans, animals, crops and materials.
0010101;ENVIRONMENT;River pollution;Contamination of water in rivers, usually as a result of human activities, in such a manner that negatively affects its legitimate uses.
0010110;ENVIRONMENT;Suspended dust;More general, particulates are microscopic solid particles suspended in the air. The source of the particulate matter can be natural or anthropogenic having adverse effect on human health. The IARC and WHO designate airborne particulates as a Group 1 carcinogen. Particulates are the most harmful form of air pollution due to their ability to penetrate deep into the lungs, blood streams and brain, causing health problems including heart attacks, respiratory disease, and premature death.
0010111;ENVIRONMENT;UV radiation;Precise threshold is according to each local standard.
0011000;FIRE;Conflagration;A large and destructive fire that threatens human life, health, and/or property.
0011001;FIRE;Fire brigade deployment;Operation of firefighters in response to a fire or other emergency report. Note: Definition may vary, depending on the responsibility of the fire brigade in each country
0011010;FIRE;Fire gases;Potentially dangerous gases emitted from a fire.
0011011;FIRE;Forest fire;A type of wildfire in a wooded area.
0011100;FIRE;Fumes;An often-noxious suspension of particles in the air.
0011101;FIRE;Odour nuisance;Prolonged and offensive smell leading to the impairment of human well-being over a certain period of time at regular or irregular intervals.
0011110;FIRE;Risk of fire;Increased likelihood of accidental fire.
0011111;FIRE;Structure fire / Industrial fire Fire affecting the structural parts of a building or a fire affecting an industrial site.
0100000;GEO;Ash fall;Fine (less than 4 mm in diameter) unconsolidated volcanic debris blown into the atmosphere during an eruption; can remain airborne for long periods of time and travel considerable distance from the source.
0100001;GEO;Avalanche risk;A large mass of loosened earth material, snow, or ice that slides, flows or falls rapidly down a mountainside under the force of gravity. Snow Avalanche: Rapid downslope movement of a mix of snow and ice. Debris Avalanche: The sudden and very rapid downslope movement of unsorted mass of rock and soil. There are two general types of debris avalanches;a cold debris avalanche usually results from an unstable slope suddenly collapsing whereas a hot debris avalanche results from volcanic activity leading to slope instability and collapse.
0100010;GEO;Crack in the ground/sinkhole;Collapse of the land surface due to the dissolving of the subsurface rocks such as limestone or carbonate rock by water.
0100011;GEO;Debris flow;Types of landslides that occur when heavy rain or rapid snow/ice melt send large amounts of vegetation, mud, or rock downslope by gravitational forces. Includes mud flow, rock fall.
0100100;GEO;Earthquake Sudden movement of a block of the Earth’s crust along a geological fault and associated ground shaking.
0100101;GEO;Geomagnetic or solar storm;A type of extra-terrestrial hazard caused by solar wind shockwaves that temporarily disturb the Earth’s magnetosphere. Geomagnetic storms can disrupt power grids, spacecraft operations, and satellite communications.
0100110;GEO;Glacial ice avalanche;Ice calving at end of a glacier.
0100111;GEO;Landslide Independent of the presence of water, mass movement may also be triggered by earthquakes.
0101000;GEO;Lava flow;The ejected magma that moves as a liquid mass downslope from a volcano during an eruption.
0101001;GEO;Pyroclastic flow;Extremely hot gases, ash, and other materials of more than 1,000 degrees Celsius that rapidly flow down the flank of a volcano (more than 700 km/h) during an eruption.
0101010;GEO;Snowdrifts;Mass of snow heaped up by the wind and deposited along an obstruction or an irregularity of the terrain.
0101011;GEO;Tidal wave;Shallow water wave caused by the gravitational interactions between the Sun, Moon, and Earth. (from USGS)
0101100;GEO;Tsunami;A series of waves (with long wavelengths when traveling across the deep ocean) that are generated by a displacement of massive amounts of water through underwater earthquakes, volcanic eruptions or landslides. Tsunami waves travel at very high speed across the ocean but as they begin to reach shallow water they slow down and the wave grows steeper.
0101101;GEO;Volcanic mud flow;(Also known as Lahar) A mud flow resulting from a volcanic event. Hot or cold mixture of earthen material flowing on the slope of a volcano either during or between volcanic eruptions.
0101110;GEO;Volcano eruption;A type of volcanic event near an opening/vent in the Earth’s surface including volcanic eruptions of lava, ash, hot vapour, gas, and pyroclastic material.
0101111;GEO;Wind/wave/storm surge;An abnormal rise in sea level generated by a tropical cyclone or other intense storms.
0110000;HEALTH;Epizootic;An epidemic outbreak of disease in an animal population, often with the implication that it may extend to humans.
0110001;HEALTH;Food safety alert;Presence of unsafe food containing harmful bacteria, viruses, parasites or chemical substances that present a risk to the health of humans, animals, plants or the environment.
0110010;HEALTH;Health hazard;Potential source of danger for individual's health.
0110011;HEALTH;Pandemi;An epidemic of an infectious disease that has spread across a large region, for instance multiple continents or worldwide, affecting a substantial number of people. A widespread endemic disease with a stable number of infected people is not a pandemic. Widespread endemic diseases with a stable number of infected people such as recurrences of seasonal influenza are generally excluded as they occur simultaneously in large regions of the globe rather than being spread worldwide.
0110100;HEALTH;Pest infestation;(from GEMET )1) The occurrence of one or more pest species in an area or location where their numbers and impact are currently or potentially at intolerable levels. 2) A sudden increase in destructiveness or population numbers of a pest species in a given area.
0110101;HEALTH;Risk of infection;Present of infectious agent(s) that present a risk or potential risk to the health of humans, animals, plants, or the environment.
0110110;INFRASTRUCTURE;Building collapse;Sudden failure of the building structure resulting in its partial or total destruction.
0110111;INFRASTRUCTURE;Emergency number outage;Interruption or failure of emergency number service.
0111000;INFRASTRUCTURE;Gas supply outage;Interruption or failure of gas supply service.
0111001;INFRASTRUCTURE;Outage of IT systems;Interruption or failure of IT systems services.
0111010;INFRASTRUCTURE;Power outage;Interruption or failure of electricity distribution service.
0111011;INFRASTRUCTURE;Raw sewage;Release in the environment of untreated wastewater.
0111100;INFRASTRUCTURE;Telephone line outage;Interruption or failure of telephone service.
0111101;MET;Black Ice;WMO definition: (1) Thin, new ice on freshwater or saltwater, appearing dark in colour because of its transparency, which is a result of its columnar grain structure. On lakes, black ice is commonly overlain by white ice formed from refrozen snow or slush. (2) A popular alternative for glaze. A thin sheet of ice, relatively dark in appearance, may form when light rain or drizzle falls on a road surface that is at a temperature below 0°C or, alternatively, when water already on the road surface subsequently freezes when the temperature thereof falls below freezing point. It may also be formed when supercooled fog droplets are intercepted by buildings, fences and vegetation.
0111110;MET;Coastal flooding;Occurs when dry and low-lying land is submerged by seawater.
0111111;MET;Cold wave;Extreme cold and low temperatures.
1000000;MET;Derecho;Widespread and usually fast-moving windstorms associated with convection/convective storm. Derechos include downburst and straight-line winds. The damage from derechos is often confused with the damage from tornadoes.
1000001;MET;Drought;An extended period of unusually low precipitation that produces a shortage of water for people, animals and plants. Drought is different from most other hazards in that it develops slowly, sometimes even over years, and its onset is generally difficult to detect.
1000010;MET;Dust storm;Strong winds carry particles of sand aloft, but generally confined to less than 50 feet (15 m), especially common in arid and semi-arid environments. A dust storm is also characterised by strong winds but carries smaller particles of dust rather than sand over an extensive area.
1000011;MET;Floating ice / icebergs;Floating ice in rivers or icebergs in the open sea
1000100;MET;Flood;A general term for the overflow of water from a stream channel onto normally dry land in the floodplain (riverine flooding), higher-than normal levels along the coast and in lakes or reservoirs (coastal flooding) as well as ponding of water at or near the point where the rain fell (flash floods).
1000101;MET;Fog A suspension of very small, usually microscopic water droplets in the air, reducing visibility at the Earth’s surface.
1000110;MET;Hail Solid precipitation in the form of irregular pellets or balls of ice more than 5 mm in diameter.
1000111;MET;Heat wave;A general term for temperature variations above (extreme heat).
1001000;MET;Lightning;A high-voltage, visible electrical discharge produced by a thunderstorm and followed by the sound of thunder.
1001001;MET;Pollens;Pollens that can cause human allergies are those of anemophilous plants (pollen is dispersed by air currents.) Such plants produce large quantities of lightweight pollen (because wind dispersal is random and the likelihood of one pollen grain landing on another flower is small), which can be carried for great distances and are easily inhaled by humans.
1001010;MET;Rainfall Rainfall greater than or equal to 50mm in past 24 hours. Note: Precise threshold is according to each local standard.
1001011;MET;Snow storm / blizzard;A low-pressure system in winter months with significant accumulations of snow, freezing rain, sleet or ice. A blizzard is a severe snowstorm with winds exceeding 35 mph (56 km/h) for three or more hours, producing reduced visibility (less than .25 mile (400 m).
1001100;MET;Snowfall;Snowfall greater than or equal to 50mm in past 24 hours. Note: Precise threshold is according to each local standard.
1001101;MET;Storm or thunderstorm;Meteorological event generating winds equal or higher than 10 on the Beaufort scale.
1001110;MET;Thawing;Gradual warning causing ground ice to degrade, potentially leading the soil surface to collapse.
1001111;MET;Tornado;A violently rotating column of air that reaches the ground or open water (waterspout).
1010000;MET;Tropical cyclone (hurricane);A tropical cyclone originates over tropical or subtropical waters. It is characterised by a warm-core, non-frontal synoptic-scale cyclone with a low-pressure centre, spiral rain bands and strong winds. Depending on their location, tropical cyclones are referred to as hurricanes (Atlantic, Northeast Pacific), typhoons (Northwest Pacific), or cyclones (South Pacific and Indian Ocean). With a minimum wind speed of 119km/h (or 74 miles/h) a tropical storm in the Atlantic or Northeast Pacific is called a hurricane.
1010001;MET;Wind chill/frost;Frost is the consequence of radiative cooling resulting in the formation of thin ice crystals on the ground or other surfaces in the form of needles, feathers, scales, or fans. Frost occurs when the temperature of surfaces is below freezing and water vapor from humid air forms solid deposits on the cold surface. Freeze occurs when the air temperature is at (32˚F/0˚C) or below over a widespread area for a climatologically significant period of time. Use of the term is usually restricted to advective situations or to occasions when wind or other conditions prevent frost. Frost and freeze are particularly damaging during the crop growing season.
1010010;MET;Tropical cyclone (typhoon);A tropical cyclone originates over tropical or subtropical waters. It is characterised by a warm-core, non-frontal synoptic-scale cyclone with a low-pressure centre, spiral rain bands and strong winds. Depending on their location, tropical cyclones are referred to as hurricanes (Atlantic, Northeast Pacific), typhoons (Northwest Pacific), or cyclones (South Pacific and Indian Ocean). With a minimum wind speed of 119km/h (or 74 miles/h) a tropical storm in the Atlantic or Northeast Pacific is called a hurricane.
1010011;RESCUE;Dam failure or bursting of a dam;Incident at a dam potentially leading to the uncontrolled release of the dam content
1010100;RESCUE;Dike failure or bursting of a dike;Incident at a dike potentially leading to the uncontrolled release of water
1010101;RESCUE;Explosive ordnance disposal;Activity to render safe all types of ordnance, including explosive, chemical and biological. It covers land and underwater location, identification, render-safe, and recovery (or disposal) of ordnance.
1010110;RESCUE;Factory accident;Incident at an industrial site affecting the surrounding area
1010111;RESCUE;Mine hazard; Any of the dangers peculiar to the winning and working of coal and minerals. These include collapse of ground, explosion of released gas, inundation by water, spontaneous combustion, inhalation of dust and poisonous gases, etc.
1011000;SAFETY;Bomb/ammunition discovery;Unexpected presence of bomb or ammunition
1011001;SAFETY;Demonstration;A march or gathering of people taking part in to show their opposition to something or their support for something
1011010;SAFETY;Hazardous material accident;An unexpected uncontrolled release of substances that have the potential to harm a person or the environment upon contact.
1011011;SAFETY;Life Threatening situation;Emergency situation that requires immediate intervention to save the life of the persons concerned.
1011100;SAFETY;Major event;Planned happening which may generate significant disruption in road traffic or transport
1011101;SAFETY;Missing person/abduction;Unaccounted person whose health status (alive/dead) cannot be confirmed.
1011110;SAFETY;Risk of explosion;Intentional use of explosive materials aiming at killing or damaging the health of humans, animals, plants, or the environment.
1011111;SAFETY;Safety warning;Announcement of a potentially dangerous situation or event to the public impacting their safety.
1100000;SAFETY;Undefined flying object;Presence of an unidentified flying object which may present a risk or potential risk to the health of humans, animals, plants, or the environment. Hurricanes and typhoons are the same weather phenomenon. A tropical cyclone is a generic term used to describe a rotating, organized system of clouds and thunderstorms that originates over tropical or subtropical waters and has closed, low-level circulation. The classification as a hurricane, typhoon or tropical cyclone depends upon where the storm originates in the world. Although, in this list of hazards hurricanes and typhoons are identified separately.
1100001;SAFETY;Unidentified animal;Presence of an unidentified animal which may present a risk or a potential risk to the health of humans, animals, plants, or the environment.
1100010;SECURITY;Chemical attack;Intentional use of dangerous chemical materials aiming at killing or damaging the health of humans, animals, plants, or the environment.
1100011;SECURITY;Guerrilla attack;Paramilitary armed forces carrying violent actions.
1100100;SECURITY;Hijack;Airplane or other vehicle under the control of hijackers
1100101;SECURITY;Shooting or danger due to weapons;Dangerous use of firearm(s) or weapons in a populated area.
1100110;SECURITY;Special forces attack;Military armed forces carrying violent actions.
1100111;SECURITY;Terrorism;Terrorist action aiming at generating a high number of victims or major material damage.
1101000;TRANSPORT;Aircraft crash;Aircraft crash
1101001;TRANSPORT;Bridge collapse;Structural failure of a bridge resulting in its partial or total destruction.
1101010;TRANSPORT;Dangerous goods accident;Accident occurrence associated with and related to the conveyance of dangerous goods by air, road, inland waterways and sea, which results in fatal or serious injury to a person or major damage to property or environment.
1101011;TRANSPORT;Inland waterway transport accident;Ship accident on an inland waterway.
1101100;TRANSPORT;Nautical disaster/Maritime/Marine Security;Sinking ship or any other event occurring at sea which may present of security or safety risk.
1101101;TRANSPORT;Oil spill;Leak of oil or pollutant from a ship or other transportation mean resulting in pollution.
1101110;TRANSPORT;Road traffic incident;Announcement of road traffic disruption.
1101111;TRANSPORT;Train/rail accident;Accident occurring on a railway and involving train(s) and/or other vehicles.
1110000;TRANSPORT;Tunnel accident;Car crash or railway accident occurring in a tunnel.
1110001;OTHER;Test alert;Test alert message for end-to-end testing.
